name,adres,website,telefoon,reviews_count,reviews_average,latitude,longitude
De Kleine Weimar,"Weimarstraat 406A, 2562 HX Den Haag",eetcafekleineweimar.weebly.com,06 42849569,474,4.4,52.0549162,4.1775599
HUmmUS Den Haag,"Prins Hendrikstraat 60, 2518 HT Den Haag",ilovehummus.nl,070 888 1546,419,4.7,52.0824137,4.2922076
Mozza e Mezze,"Prins Hendrikplein 22, 2518 JC Den Haag",mozzamezze.nl,06 14662394,29,4.6,52.0817055,4.2842091
Café-Restaurant Kamer,"Zoutmanstraat 8A, 2518 GP Den Haag",mymenuweb.com,06 39623164,82,4.8,52.0817055,4.2842091
Cafe Pomegranate,"Prins Hendrikstraat 113, 2518 HM Den Haag",,06 25191293,223,4.7,52.0817055,4.2842091
Vincenzo's - Zeeheldenkwartier,"Prins Hendrikstraat 75, 2518 HL Den Haag",vincenzos.nl,070 217 7060,698,4.5,52.0817055,4.2842091
L'amour Toujours,"Prins Hendrikplein 10, 2518 JB Den Haag",lamour-toujours.nl,070 239 0028,160,4.5,52.0817055,4.2842091
HUmmUS Den Haag,"Prins Hendrikstraat 60, 2518 HT Den Haag",ilovehummus.nl,070 888 1546,419,4.7,52.0817055,4.2842091
Cafe Pomegranate,"Prins Hendrikstraat 113, 2518 HM Den Haag",,06 25191293,223,4.7,52.0817055,4.2842091
مطعم سقطرى اليمن - Socotra Restaurant,"Van der Vennestraat 31, 2525 CA Den Haag",socotrarestaurant.nl,06 33333316,23,4.9,52.0817036,4.2687594
LORR Café & Restaurant,"Hobbemaplein 99, 2526 JD Den Haag",restaurantlorr.nl,070 406 4949,249,4.0,52.0817036,4.2687594
Café-Restaurant Kamer,"Zoutmanstraat 8A, 2518 GP Den Haag",mymenuweb.com,06 39623164,82,4.8,52.0817036,4.2687594
Shakshuka Restaurant and Bar,"Prinsestraat 73A, 2513 CB Den Haag",instagram.com,06 34544577,619,4.8,52.0817036,4.2687594
Hotspot Food Factory,"Hoefkade 1004, 2525 LJ Den Haag",,070 785 4190,2,5.0,52.0817036,4.2687594
Café Restaurant Corner,"Schalk Burgerstraat 424, 2572 TK Den Haag",facebook.com,06 81139495,33,4.8,52.0817036,4.2687594
مطعم سقطرى اليمن - Socotra Restaurant,"Van der Vennestraat 31, 2525 CA Den Haag",socotrarestaurant.nl,06 33333316,23,4.9,52.0602359,4.257824
LORR Café & Restaurant,"Hobbemaplein 99, 2526 JD Den Haag",restaurantlorr.nl,070 406 4949,249,4.0,52.0602359,4.257824
Café-Restaurant Kamer,"Zoutmanstraat 8A, 2518 GP Den Haag",mymenuweb.com,06 39623164,82,4.8,52.0602359,4.257824
Shakshuka Restaurant and Bar,"Prinsestraat 73A, 2513 CB Den Haag",instagram.com,06 34544577,619,4.8,52.0810303,4.259956
Hotspot Food Factory,"Hoefkade 1004, 2525 LJ Den Haag",,070 785 4190,2,5.0,52.0810303,4.259956
Café Restaurant Corner,"Schalk Burgerstraat 424, 2572 TK Den Haag",facebook.com,06 81139495,33,4.8,52.0810303,4.259956
Koolmees Haga,"Els Borst-Eilersplein 6, 2545 AA Den Haag",koolmeeshaga.nl,06 44433335,92,4.4,52.0810267,4.259956
LOSH Restaurant,"Johanna Naberweg 5, 2533 SE Den Haag",losh.nl,070 200 7474,2421,4.0,52.0570947,4.2288213
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0565408,4.2494689
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0565408,4.2494689
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0565408,4.2494689
مطعم البيت اليمني Yemeni House Restaurant,"Almeloplein 27, 2533 AB Den Haag",yemenihouse.nl,06 16626636,733,4.7,52.0565408,4.2494689
Koolmees Haga,"Els Borst-Eilersplein 6, 2545 AA Den Haag",koolmeeshaga.nl,06 44433335,92,4.4,52.0565408,4.2494689
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0570947,4.2288213
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0565408,4.2494689
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0565408,4.2494689
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0565408,4.2494689
Chinees Indisch Restaurant Fong Shou,"Leyweg 533, 2545 GG Den Haag",fongshoudenhaag.nl,070 321 1857,634,4.4,52.061946,4.2330061
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.061946,4.2330061
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.061946,4.2330061
Bistro Café Loft,"Pomonaplein 49A, 2564 XS Den Haag",loftdenhaag.nl,070 225 3569,422,4.6,52.061946,4.2330061
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.061946,4.2330061
