name,adres,website,telefoon,reviews_count,reviews_average,latitude,longitude
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.061946,4.2330061
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.061946,4.2330061
Koolmees Haga,"Els Borst-Eilersplein 6, 2545 AA Den Haag",koolmeeshaga.nl,06 44433335,92,4.4,52.061946,4.2330061
LOSH Restaurant,"Johanna Naberweg 5, 2533 SE Den Haag",losh.nl,070 200 7474,2421,4.0,52.061946,4.2330061
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.061946,4.2330061
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.061946,4.2330061
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.061946,4.2330061
مطعم البيت اليمني Yemeni House Restaurant,"Almeloplein 27, 2533 AB Den Haag",yemenihouse.nl,06 16626636,733,4.7,52.061946,4.2330061
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.061946,4.2330061
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.061946,4.2330061
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.061946,4.2330061
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.061946,4.2330061
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0570947,4.2288213
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0570947,4.2288213
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0570947,4.2288213
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0570947,4.2288213
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.0570947,4.2288213
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.0570947,4.2288213
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.0570947,4.2288213
LOSH Restaurant,"Johanna Naberweg 5, 2533 SE Den Haag",losh.nl,070 200 7474,2421,4.0,52.057181,4.2291206
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0565408,4.2494689
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0565408,4.2494689
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0565408,4.2494689
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0565408,4.2494689
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.061946,4.2330061
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.061946,4.2330061
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.061946,4.2330061
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0570947,4.2288213
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0570947,4.2288213
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0570947,4.2288213
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0570947,4.2288213
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.0570947,4.2288213
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.0570947,4.2288213
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.0570947,4.2288213
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0570947,4.2288213
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0570947,4.2288213
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0570947,4.2288213
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0570947,4.2288213
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.0570947,4.2288213
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.0570947,4.2288213
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.0570947,4.2288213
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0565408,4.2494689
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0565408,4.2494689
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0565408,4.2494689
مطعم البيت اليمني Yemeni House Restaurant,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0565408,4.2494689
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.061946,4.2330061
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.061946,4.2330061
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.061946,4.2330061
LOSH Restaurant,"Johanna Naberweg 5, 2533 SE Den Haag",losh.nl,070 200 7474,2421,4.0,52.0565408,4.2494689
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0565408,4.2494689
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0565408,4.2494689
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0565408,4.2494689
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.061946,4.2330061
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.061946,4.2330061
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.061946,4.2330061
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0570947,4.2288213
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0570947,4.2288213
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0570947,4.2288213
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0570947,4.2288213
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.0570947,4.2288213
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.0570947,4.2288213
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.0570947,4.2288213
Koolmees Haga,"Els Borst-Eilersplein 6, 2545 AA Den Haag",koolmeeshaga.nl,06 44433335,92,4.4,52.0573569,4.2297305
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0565408,4.2494689
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0565408,4.2494689
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0565408,4.2494689
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0565408,4.2494689
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.061946,4.2330061
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.061946,4.2330061
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.061946,4.2330061
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0570947,4.2288213
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0570947,4.2288213
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0570947,4.2288213
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0570947,4.2288213
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.0570947,4.2288213
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.0570947,4.2288213
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.0570947,4.2288213
LOSH Restaurant,"Johanna Naberweg 5, 2533 SE Den Haag",losh.nl,070 200 7474,2421,4.0,52.0572878,4.2294909
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0565408,4.2494689
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0565408,4.2494689
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0565408,4.2494689
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0565408,4.2494689
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.061946,4.2330061
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.061946,4.2330061
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.061946,4.2330061
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.061946,4.2330061
Man's Garden,"Laan van Wateringse Veld 70, 2548 CC Den Haag",mansgarden.nl,070 329 3145,213,3.6,52.0565372,4.2494689
Hudson Den Haag Zuid,"Poeldijkseweg 47, 2544 NS Den Haag",hudsondenhaagzuid.nl,070 262 0620,1635,3.9,52.0342697,4.248867
Pizzeria & Dönerhuis De Gaarde,"Vrederustlaan 123, 2543 SM Den Haag",eethuisdegaarde.nl,070 220 9679,144,4.2,52.0281029,4.2177221
Tadinda Cigköfte,"Leyweg 867, 2545 HB Den Haag",instagram.com,06 38333905,107,4.8,52.0281029,4.2177221
Brasserie de Rhijenhof,"Noordweg 44A, 2548 AC Den Haag",rhijenhof.nl,0174 295 975,22,4.4,52.0442128,4.244644
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0442128,4.244644
Man's Garden,"Laan van Wateringse Veld 70, 2548 CC Den Haag",mansgarden.nl,070 329 3145,213,3.6,52.0442128,4.244644
Hudson Den Haag Zuid,"Poeldijkseweg 47, 2544 NS Den Haag",hudsondenhaagzuid.nl,070 262 0620,1635,3.9,52.0442128,4.244644
LOSH Restaurant,"Johanna Naberweg 5, 2533 SE Den Haag",losh.nl,070 200 7474,2421,4.0,52.0441823,4.1828432
Cleopatra,"Goeverneurlaan 155, 2523 BD Den Haag",,06 41533809,1,5.0,52.0441823,4.1828432
Oud Hollands Friethuis Laak,"Lorentzplein, 2522 EA Den Haag",,,11,4.3,52.0441823,4.1828432
Za-Ad Sushi,"Goeverneurlaan 162, 2523 BP Den Haag",za-adsushi.nl,070 415 8192,20,4.8,52.0441823,4.1828432
Samen Lezen Samen Eten,"Rijswijkseweg 252, 2516 EN Den Haag",,06 28024008,0,0.0,52.0441823,4.1828432
Samen Lezen Samen Eten,"Rijswijkseweg 252, 2516 EN Den Haag",,06 28024008,4,5.0,52.0441823,4.1828432
Cleopatra,"Goeverneurlaan 155, 2523 BD Den Haag",,06 41533809,1,5.0,52.0441823,4.1828432
Oud Hollands Friethuis Laak,"Lorentzplein, 2522 EA Den Haag",,,11,4.3,52.0441823,4.1828432
Samen Lezen Samen Eten,"Rijswijkseweg 252, 2516 EN Den Haag",,06 28024008,0,0.0,52.0441823,4.1828432
Bar Laak,"Tweede Lulofsdwarsstraat 2, 2521 BE Den Haag",laak.club,,4,5.0,52.0441823,4.1828432
Damas Restaurant Den haag,"Goeverneurlaan 702, 2523 CS Den Haag",damas-restaurant.com,070 743 0353,890,3.7,52.0441823,4.1828432
Café Bistro Jules,"Kon. Emmakade 118A, 2518 JJ Den Haag",mymenuweb.com,070 345 4060,475,4.5,52.0441823,4.1828432
Restaurant Elea,"Noordeinde 142, 2514 GP Den Haag",restaurantelea.nl,070 214 3860,388,4.8,52.0441823,4.1828432
Mirîşk Chicken,"Laakweg, 2521 SC Den Haag",,,23,3.3,52.0441823,4.1828432
Restaurant Oker,"Denneweg 71, 2514 CE Den Haag",restaurantoker.nl,070 364 5453,646,4.4,52.0441823,4.1828432
Prikkel,"Vlierboomstraat 509, 2564 JG Den Haag",prikkelmee.nl,06 14994788,48,4.6,52.0441823,4.1828432
LOSH Restaurant,"Johanna Naberweg 5, 2533 SE Den Haag",losh.nl,070 200 7474,2421,4.0,52.0676336,4.1105003
Cleopatra,"Goeverneurlaan 155, 2523 BD Den Haag",,06 41533809,1,5.0,52.0676336,4.1105003
Oud Hollands Friethuis Laak,"Lorentzplein, 2522 EA Den Haag",,,11,4.3,52.0676336,4.1105003
Za-Ad Sushi,"Goeverneurlaan 162, 2523 BP Den Haag",za-adsushi.nl,070 415 8192,20,4.8,52.0611214,4.1836364
Samen Lezen Samen Eten,"Rijswijkseweg 252, 2516 EN Den Haag",,06 28024008,0,0.0,52.0611214,4.1836364
Samen Lezen Samen Eten,"Rijswijkseweg 252, 2516 EN Den Haag",,06 28024008,4,5.0,52.0611214,4.1836364
Damas Restaurant Den haag,"Goeverneurlaan 702, 2523 CS Den Haag",damas-restaurant.com,070 743 0353,890,3.7,52.0611214,4.1836364
Café Bistro Jules,"Kon. Emmakade 118A, 2518 JJ Den Haag",mymenuweb.com,070 345 4060,475,4.5,52.0611214,4.1836364
Restaurant Elea,"Noordeinde 142, 2514 GP Den Haag",restaurantelea.nl,070 214 3860,388,4.8,52.0611214,4.1836364
Mirîşk Chicken,"Laakweg, 2521 SC Den Haag",,,23,3.3,52.0611214,4.1836364
Restaurant Oker,"Denneweg 71, 2514 CE Den Haag",restaurantoker.nl,070 364 5453,646,4.4,52.0611214,4.1836364
Prikkel,"Vlierboomstraat 509, 2564 JG Den Haag",prikkelmee.nl,06 14994788,48,4.6,52.0611214,4.1836364
Restaurant PEX,"Evert Wijtemaweg 5, 2565 AA Den Haag",pex.nl,070 325 7125,1378,4.1,52.0676336,4.1105003
pizzeria Rembrandt,"Lorentzplein 7, 2522 EB Den Haag",rembrandt.foodticket.nl,070 322 9967,62,4.2,52.0676336,4.1105003
"Café ""De Laak""","Verheeskade 20, 2521 BN Den Haag",koffiehuisdelaak.nl,070 388 3304,120,4.7,52.0610456,4.1833826
Bar Bistro De Twee Heeren,"Oude Molstraat 6, 2513 BB Den Haag",barbistrodetweeheeren.nl,070 331 1179,748,4.3,52.0610456,4.1833826
Rotishop Pamir,"Goeverneurlaan 160, 2523 BD Den Haag",rajrotishopdenhaag.nl,070 399 5253,0,0.0,52.0610456,4.1833826
EL MAMMA BBQ | Den Haag,"Grote Marktstraat 15, 2511 BH Den Haag",elmammabbq.nl,070 393 5023,5813,4.8,52.0610456,4.1833826
LOSH Restaurant,"Johanna Naberweg 5, 2533 SE Den Haag",losh.nl,070 200 7474,2421,4.0,52.0610456,4.1833826
Cleopatra,"Goeverneurlaan 155, 2523 BD Den Haag",,06 41533809,1,5.0,52.0610456,4.1833826
Oud Hollands Friethuis Laak,"Lorentzplein, 2522 EA Den Haag",,,11,4.3,52.0610456,4.1833826
Za-Ad Sushi,"Goeverneurlaan 162, 2523 BP Den Haag",za-adsushi.nl,070 415 8192,20,4.8,52.0610456,4.1833826
Samen Lezen Samen Eten,"Rijswijkseweg 252, 2516 EN Den Haag",,06 28024008,0,0.0,52.0610456,4.1833826
Bar Laak,"Tweede Lulofsdwarsstraat 2, 2521 BE Den Haag",laak.club,,4,5.0,52.0610456,4.1833826
Damas Restaurant Den haag,"Goeverneurlaan 702, 2523 CS Den Haag",damas-restaurant.com,070 743 0353,890,3.7,52.0610456,4.1833826
Café Bistro Jules,"Kon. Emmakade 118A, 2518 JJ Den Haag",mymenuweb.com,070 345 4060,475,4.5,52.0610456,4.1833826
Restaurant Elea,"Noordeinde 142, 2514 GP Den Haag",restaurantelea.nl,070 214 3860,388,4.8,52.0610456,4.1833826
Mirîşk Chicken,"Laakweg, 2521 SC Den Haag",,,23,3.3,52.0610456,4.1833826
Restaurant Oker,"Denneweg 71, 2514 CE Den Haag",restaurantoker.nl,070 364 5453,646,4.4,52.0610456,4.1833826
Prikkel,"Vlierboomstraat 509, 2564 JG Den Haag",prikkelmee.nl,06 14994788,48,4.6,52.0610456,4.1833826
"Café ""De Laak""","Verheeskade 20, 2521 BN Den Haag",koffiehuisdelaak.nl,070 388 3304,120,4.7,52.0676336,4.1105003
Yemeni Restaurant - المطعم اليمني,"Oosterkade 119, 3011 TV Rotterdam",yemenirestaurant.nl,06 55333555,1529,4.4,51.917415,4.4769516
Umami by Han Rotterdam,"Binnenrotte 140, 3011 HC Rotterdam",umami-restaurant.com,010 433 3139,1020,4.5,51.917415,4.4769516
Pesca Rotterdam,"Botersloot 125, 3011 HE Rotterdam",pesca.restaurant,010 307 1381,993,4.6,51.9226586,4.4679245
O'Pazzo Blaak,"Mariniersweg 90, 3011 NV Rotterdam",opazzo.nl,010 282 7107,2324,4.4,51.9226586,4.4679245
Loetje Rotterdam Centrum,"Binnenrotte 192, 3011 HC Rotterdam",loetje.nl,010 268 1869,1588,4.3,51.9226586,4.4679245
THOMS Restaurant & Underground Bar,"Meent 131-129, 3011 JH Rotterdam",thoms.nu,010 210 9435,1844,4.2,51.9226586,4.4679245
Yemeni Restaurant - المطعم اليمني,"Oosterkade 119, 3011 TV Rotterdam",yemenirestaurant.nl,06 55333555,1529,4.4,51.9226586,4.4679245
Umami by Han Rotterdam,"Binnenrotte 140, 3011 HC Rotterdam",umami-restaurant.com,010 433 3139,1020,4.5,51.9190081,4.4786754
Kervansaray,"Mathenesserweg 2, 3026 HA Rotterdam",restaurantkervansaray.nl,010 415 6629,492,4.5,51.922651,4.4370247
Meram,"Mathenesserplein 91, 3023 LA Rotterdam",meram.nl,010 478 0643,784,3.9,51.9159761,4.3705824
Durum Evi,"Mathenesserweg 1A, 3027 HC Rotterdam",durumevi.nl,010 223 0870,540,4.1,51.9159761,4.3705824
Maras Lezzet Restaurant,"Mathenesserweg 64C, 3026 HE Rotterdam",,010 848 1419,113,4.6,51.9159761,4.3705824
Restaurant Frits,"Piet Heynsplein 25A, 3024 RJ Rotterdam",restaurantfrits.nl,010 477 3025,219,4.8,51.9159761,4.3705824
Café Het Kasteel,"Bilderdijkstraat 125, 3027 SH Rotterdam",,,25,3.7,51.9159761,4.3705824
Kervansaray,"Mathenesserweg 2, 3026 HA Rotterdam",restaurantkervansaray.nl,010 415 6629,492,4.5,51.9159761,4.3705824
Maras Lezzet Restaurant,"Mathenesserweg 64C, 3026 HE Rotterdam",,010 848 1419,113,4.6,51.9159761,4.3705824
Café Het Kasteel,"Bilderdijkstraat 125, 3027 SH Rotterdam",,,25,3.7,51.9159761,4.3705824
West Grill,"Nieuwe Binnenweg 426, 3023 EX Rotterdam",westgrillhuis.nl,06 81027374,225,4.7,51.9159617,4.3705824
Dahlak,"Nieuwe Binnenweg 360B, 3023 ES Rotterdam",dahlak.nl,010 341 3921,288,4.8,51.9159617,4.3705824
EAUX POSSE,"Galileistraat 15, 3029 AL Rotterdam",eauxposse.nl,010 307 2323,160,4.8,51.9159617,4.3705824
Meram,"Mathenesserplein 91, 3023 LA Rotterdam",meram.nl,010 478 0643,784,3.9,51.9159617,4.3705824
Grand Café Wester Paviljoen,"Mathenesserlaan 157, 3015 CJ Rotterdam",westerpaviljoen.nl,010 436 2645,2070,4.2,51.9159617,4.3705824
by Jarmusch-West,"Nieuwe Binnenweg 575, 3023 EP Rotterdam",byjarmusch.nl,010 600 4200,190,4.3,51.9159617,4.3705824
Portugalia Tasca Rotterdam,"2e Middellandstraat 2B, 3021 BM Rotterdam",portugaliatasca.nl,06 30831921,440,4.5,51.9159473,4.3705823
Café Marseille,"1e Middellandstraat 16B, 3014 BD Rotterdam",cafemarseille.nl,010 841 3081,516,4.4,51.9159473,4.3705823
Bahlna Restaurant,"1e Middellandstraat 23B, 3014 BB Rotterdam",bahlnarestaurant.com,06 82594383,40,5.0,51.9159473,4.3705823
Miracle Restaurant,"1e Middellandstraat 23B, 3014 BB Rotterdam",miraclerestaurant.nl,06 82594383,19,4.8,51.9159473,4.3705823
سوبر ماركت العائلة NB Familie Eethuis,"1e Middellandstraat 101a, 3021 BD Rotterdam",,010 229 2474,81,4.9,51.9159473,4.3705823
Rainarai Rotterdam,"1e Middellandstraat 134, 3021 BJ Rotterdam",rainarai.nl,010 503 6190,237,4.1,51.9159473,4.3705823
Het Statencafe,"Statenweg 134D, 3039 JM Rotterdam",statencafe.nl,010 720 1600,288,4.4,51.915933,4.3705823
Bistrot-Bar Frère,"Statenweg 66A, 3039 JG Rotterdam",bistrotbarfrere.nl,010 210 8852,178,4.6,51.915933,4.3705823
Breakfast in Rotterdam HQ,"Stadhoudersweg 96D, 3039 CJ Rotterdam",breakfastinrotterdam.nl,06 58875252,492,4.8,51.915933,4.3705823
La Pizza Noord,"Bentinckplein 1-3, 3039 KL Rotterdam",lapizza.nl,010 890 0710,775,4.3,51.915933,4.3705823
Van Der Valk Hotel Rotterdam - Blijdorp,"Energieweg 2, 3041 JC Rotterdam",hotel-rotterdam-blijdorp.nl,010 298 8777,2882,4.0,51.915933,4.3705823
Caraïbisch cafe,"Oceanium Diergaarde Blijdorp, Rotterdam",,,9,3.6,51.915933,4.3705823
"Brasserie Uit 't Zuiden, Rotterdam Noord, Oude Noorden","Noordsingel 121, 3035 EN Rotterdam",brasserieuithetzuiden.nl,010 818 9334,164,4.6,51.9329582,4.469711
Cappadocia restaurant,"Zwart Janstraat 52, 3035 AV Rotterdam",cappadoarestaurantrotterdam.nl,010 302 0075,151,4.7,51.932057,4.4574353
Bistro Diepnoord,"Bergweg 80, 3036 BD Rotterdam",diepnoord.nl,010 767 0060,150,4.5,51.932057,4.4574353
Destino,"Zaagmolenkade 37, 3035 KA Rotterdam",restaurant-destino.nl,010 842 2059,794,4.5,51.932057,4.4574353
Destino,"Zaagmolenkade 37, 3035 KA Rotterdam",restaurant-destino.nl,010 842 2059,794,4.5,51.9353221,4.4463922
Eetcafé Trefpunt Rotterdam,"Soetendaalsekade 59B, 3036 EB Rotterdam",trefpunt-rotterdam.nl,010 467 0361,870,4.6,51.9353221,4.4463922
"Brasserie Uit 't Zuiden, Rotterdam Noord, Oude Noorden","Noordsingel 121, 3035 EN Rotterdam",brasserieuithetzuiden.nl,010 818 9334,164,4.6,51.9353221,4.4463922
Cappadocia restaurant,"Zwart Janstraat 52, 3035 AV Rotterdam",cappadoarestaurantrotterdam.nl,010 302 0075,151,4.7,51.9353221,4.4463922
Bistro Diepnoord,"Bergweg 80, 3036 BD Rotterdam",diepnoord.nl,010 767 0060,150,4.5,51.9353221,4.4463922
Mevrouw Meijer,"Gerard Scholtenstraat 37B, 3035 SC Rotterdam",mevrouwmeijer.nl,010 466 3367,275,4.6,51.9353221,4.4463922
Alhambra Restaurant,"Noordmolenstraat 75A, 3035 RH Rotterdam",facebook.com,010 230 7808,162,4.2,51.9353221,4.4463922
Bistro Zino,"Zwaanshals 265, 3035 KG Rotterdam",zinourbanbistro.nl,06 36173859,174,4.6,51.9353221,4.4463922
Bar Bistro LOEVetDIE,"Zwaanshals 341A, 3035 KL Rotterdam",bistroloevetdie.nl,010 321 2127,162,4.5,51.9353221,4.4463922
Restaurant Tosca,"1e Pijnackerstraat 120B, 3035 GW Rotterdam",restauranttosca.nl,010 237 2589,472,4.7,51.9353221,4.4463922
Restaurant Gibraltar,"Zwart Janstraat 101, 3035 AN Rotterdam",,06 45623684,17,4.9,51.9353221,4.4463922
Brasserie In 't Oude Noorden,"Benthemplein 15, 3032 CC Rotterdam",zadkine.nl,,22,4.5,51.9353221,4.4463922
Brasserie In 't Oude Noorden,"Benthemplein 15, 3032 CC Rotterdam",zadkine.nl,,22,4.5,51.9353221,4.4463922
Peppel Eten & Drinken,"Rododendronplein 10, 3053 ES Rotterdam",peppeletenendrinken.nl,010 226 0484,553,4.1,51.9353185,4.4463921
Tokootje,"Peppelweg 112 a, 3053 GS Rotterdam",tokootje.com,010 203 5217,87,4.8,51.960145,4.4373874
Brasserie Thuis,"Hoge Limiet 275, 3053 KT Rotterdam",brasseriethuis.nl,010 333 5720,285,4.6,51.960145,4.4373874
Da Gianfranco,"Teldersweg 271, 3052 TJ Rotterdam",dagianfranco.nl,010 418 1035,619,4.5,51.960145,4.4373874
Afhaalrestaurant A-Yee,"Kerstroosstraat 11, 3053 EB Rotterdam",webl.me,010 422 6253,182,4.7,51.960145,4.4373874
De Gouden Snor eten & drinken,"Kleiweg 177a, 3051 XH Rotterdam",mymenuweb.com,010 418 4813,435,4.4,51.960145,4.4373874
Peppel Eten & Drinken,"Rododendronplein 10, 3053 ES Rotterdam",peppeletenendrinken.nl,010 226 0484,553,4.1,51.960145,4.4373874
Finca,"Oudedijk 222B, 3061 AT Rotterdam",fincarotterdam.nl,010 261 5222,442,4.3,51.9601144,4.3755866
Van Stralen,"Oudedijk 110, 3061 AN Rotterdam",etenbijvanstralen.nl,010 414 8883,234,4.5,51.9601144,4.3755866
Brasserie Woodz,"Langepad 9, 3062 CJ Rotterdam",brasseriewoodz.nl,010 212 1665,1544,4.2,51.9601144,4.3755866
Bomm Bar Bistro,"Oudedijk 217B, 3061 AG Rotterdam",bomm.nl,010 846 5125,358,4.6,51.9601144,4.3755866
Vis op de Dijk,"Oudedijk 235A, 3061 AH Rotterdam",visopdedijk.nl,010 236 4809,614,4.7,51.9601144,4.3755866
Restaurant Orlena,"Goudse Rijweg 16, 3061 DC Rotterdam",restaurantorlena.nl,010 254 5506,135,4.8,51.9601144,4.3755866
Het Witte Paard,"Groenezoom 245, 3075 GD Rotterdam",hetwittepaardrotterdam.nl,06 48219931,149,4.5,51.8904447,4.4858636
Vishandel Vreewijk,"Groenezoom 277, 3075 GE Rotterdam",,010 844 9675,156,4.6,51.8904447,4.4858636
